algoritmo,tipo_vetor,tamanho_n,tempo_s
InsertionSort,Crescente,1000,0.000003
MergeSort,Crescente,1000,0.000035
QuickSort,Crescente,1000,0.002225
InsertionSort,Decrescente,1000,0.001084
MergeSort,Decrescente,1000,0.000032
QuickSort,Decrescente,1000,0.001624
InsertionSort,Aleatorio,1000,0.000508
MergeSort,Aleatorio,1000,0.000072
QuickSort,Aleatorio,1000,0.000073
InsertionSort,Crescente,5000,0.000014
MergeSort,Crescente,5000,0.000184
QuickSort,Crescente,5000,0.055613
InsertionSort,Decrescente,5000,0.026132
MergeSort,Decrescente,5000,0.000176
QuickSort,Decrescente,5000,0.039303
InsertionSort,Aleatorio,5000,0.013117
MergeSort,Aleatorio,5000,0.000418
QuickSort,Aleatorio,5000,0.000466
InsertionSort,Crescente,10000,0.000029
MergeSort,Crescente,10000,0.000384
QuickSort,Crescente,10000,0.216661
InsertionSort,Decrescente,10000,0.103746
MergeSort,Decrescente,10000,0.000376
QuickSort,Decrescente,10000,0.154401
InsertionSort,Aleatorio,10000,0.051751
MergeSort,Aleatorio,10000,0.000887
QuickSort,Aleatorio,10000,0.001002
InsertionSort,Crescente,20000,0.000055
MergeSort,Crescente,20000,0.000794
QuickSort,Crescente,20000,0.898595
InsertionSort,Decrescente,20000,0.415255
MergeSort,Decrescente,20000,0.000746
QuickSort,Decrescente,20000,0.605128
InsertionSort,Aleatorio,20000,0.206302
MergeSort,Aleatorio,20000,0.001868
QuickSort,Aleatorio,20000,0.002069
InsertionSort,Crescente,50000,0.000139
MergeSort,Crescente,50000,0.002046
